CDSCODE,C,D,S,SARCYear,AVGEN_Y1,NCSEN_Y1,NCMEN_Y1,NCLEN_Y1,AVGMA_Y1,NCSMA_Y1,NCMMA_Y1,NCLMA_Y1,AVGSC_Y1,NCSSC_Y1,NCMSC_Y1,NCLSC_Y1,AVGSS_Y1,NCSSS_Y1,NCMSS_Y1,NCLSS_Y1,AVGEN_Y2,NCSEN_Y2,NCMEN_Y2,NCLEN_Y2,AVGMA_Y2,NCSMA_Y2,NCMMA_Y2,NCLMA_Y2,AVGSC_Y2,NCSSC_Y2,NCMSC_Y2,NCLSC_Y2,AVGSS_Y2,NCSSS_Y2,NCMSS_Y2,NCLSS_Y2,AVGEN_Y3,NCSEN_Y3,NCMEN_Y3,NCLEN_Y3,AVGMA_Y3,NCSMA_Y3,NCMMA_Y3,NCLMA_Y3,AVGSC_Y3,NCSSC_Y3,NCMSC_Y3,NCLSC_Y3,AVGSS_Y3,NCSSS_Y3,NCMSS_Y3,NCLSS_Y3
49738826112981,49,73882,6112981,2020-21,23,6,16,1,23,9,13,1,26,4,19,2,23,6,15,1,22,8,16,,21,10,13,1,23,7,20,,23,7,13,,23,5,17,1,24,4,12,2,24,7,18,,25,2,14,
31668296101778,31,66829,6101778,2020-21,25,2,13,1,26,1,12,2,28,2,14,4,26,2,13,1,29,,12,2,27,4,6,5,31,1,8,4,29,,12,2,26,1,11,1,26,1,11,1,26,1,11,1,26,1,12,
19644361932086,19,64436,1932086,2020-21,26,13,20,16,27,12,16,17,29,6,10,10,26,10,13,17,28,13,23,14,29,14,11,20,32,6,4,16,28,8,10,20,27,13,23,15,29,11,10,22,29,8,10,12,27,8,19,11
34674470121467,34,67447,0121467,2020-21,28,2,12,6,31,4,8,6,32,,5,1,30,,5,1,28,,17,4,27,3,17,3,29,,2,2,29,1,5,2,27,6,18,4,28,4,18,2,30,,6,2,29,,7,2
34674390101048,34,67439,0101048,2020-21,25,2,5,,25,2,5,,25,2,5,,29,,4,,24,4,4,,24,4,4,,24,4,4,,24,4,4,,20,6,3,,20,6,3,,20,6,3,,18,3,2,
27662256115182,27,66225,6115182,2020-21,16,13,8,,18,7,6,,21,3,8,,29,,8,,20,11,5,4,17,8,6,,18,6,7,,33,1,5,3,21,3,8,,18,6,7,,23,3,7,,26,1,8,
39686766042790,39,68676,6042790,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3,4,,27,,4,,27,,4,,27,,4,
30666470119404,30,66647,0119404,2020-21,28,16,17,36,31,5,14,33,30,5,20,21,31,7,14,24,28,15,12,40,29,10,20,26,32,1,18,25,32,3,17,25,26,18,23,26,31,6,20,24,30,1,27,15,33,3,12,28
33752420112102,33,75242,0112102,2020-21,23,10,7,9,27,4,8,7,30,2,4,11,28,4,4,10,21,13,12,5,22,10,10,6,30,2,9,7,30,2,9,7,10,52,1,,11,44,1,,12,37,1,,14,33,1,
41690396044861,41,69039,6044861,2020-21,25,8,25,,28,3,20,2,28,,28,,28,,24,,25,6,25,,28,,27,,28,,24,,28,3,21,,24,7,24,,25,6,19,,27,3,21,,27,,24,
29664070128629,29,66407,0128629,2020-21,19,5,3,,19,9,4,,25,2,3,,25,1,4,,22,2,4,,22,4,3,,24,1,5,,24,,2,,28,1,3,1,19,5,2,,18,8,,,24,3,2,1
37679830134890,37,67983,0134890,2020-21,5,1055,33,13,6,658,26,10,6,376,7,14,10,391,35,20,6,927,17,27,7,673,18,22,6,517,8,17,10,445,14,35,3,2094,,,4,1482,4,,4,1063,2,,4,1277,,
34673300113571,34,67330,0113571,2020-21,29,10,11,29,30,5,15,20,34,,9,14,31,2,9,17,29,7,12,21,29,7,14,19,33,,10,15,33,2,6,17,31,4,10,26,29,10,5,24,34,,5,18,32,2,6,18
19647336058382,19,64733,6058382,2020-21,23,10,7,3,25,6,9,2,20,7,2,1,25,7,7,3,22,8,8,4,26,5,4,7,24,3,5,2,25,4,9,4,19,10,11,1,23,5,10,1,23,3,13,1,21,5,13,
01611920133009,01,61192,0133009,2020-21,9,20,,,8,11,1,,7,12,,,6,32,,,11,21,1,,5,27,,,6,17,,,7,39,2,,8,21,,,4,17,,,5,11,,,7,26,,
01612346102917,01,61234,6102917,2020-21,27,6,27,2,25,10,22,2,30,,31,4,26,5,23,1,31,1,22,6,25,6,27,2,30,,22,6,27,5,24,,27,4,22,2,26,6,20,3,29,,22,3,28,2,20,2
47702436050710,47,70243,6050710,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19647336058168,19,64733,6058168,2020-21,18,21,12,4,24,9,6,8,24,8,8,6,26,5,10,6,18,23,8,7,23,10,5,9,26,8,5,10,25,7,4,12,16,28,7,8,22,10,13,3,26,3,4,4,22,11,9,6
19643781995885,19,64378,1995885,2020-21,5,10,,,4,12,,,3,11,,,4,11,,,10,6,,,7,7,,,7,6,,,8,7,,,7,13,1,,6,13,1,,8,9,1,,8,10,1,
30664316058903,30,66431,6058903,2020-21,27,8,24,10,31,3,13,17,32,2,9,21,30,2,21,11,31,9,19,15,40,3,9,22,31,3,14,18,32,2,6,25,29,12,18,13,35,3,18,14,31,3,19,13,31,3,16,15
31668456031165,31,66845,6031165,2020-21,23,1,1,,23,1,1,,23,1,1,,23,1,1,,25,,2,,25,,2,,25,,2,,25,,2,,22,2,,,22,2,,,22,2,,,22,2,,
19647331931989,19,64733,1931989,2020-21,4,22,,,9,6,,,6,4,,,5,17,1,,3,30,,,8,10,,,4,6,,,3,30,,,7,8,,,7,6,1,,7,3,,,3,11,,
34673303430501,34,67330,3430501,2020-21,15,7,4,,3,43,,,2,9,,,3,34,,,4,35,,,2,32,,,2,10,,,2,32,,,5,35,,,4,36,,,3,12,,,3,35,,
29663406027148,29,66340,6027148,2020-21,,,,,27,,5,1,28,,6,,28,,12,,7,1,,,28,1,4,1,30,1,3,2,30,,2,,3,3,,,16,7,3,,24,3,3,1,,,,
39686766042550,39,68676,6042550,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,8,,31,,6,,30,,7,,31,,6,
33670826032080,33,67082,6032080,2020-21,12,4,1,,13,3,1,,24,1,1,,24,1,1,,11,6,,,9,6,,,17,3,,,17,3,,,8,7,,,9,6,,,16,3,,,16,3,,
34765056112643,34,76505,6112643,2020-21,28,3,6,6,32,,6,6,32,,6,6,30,1,6,6,30,2,4,10,32,1,4,10,32,,4,10,32,,4,10,13,40,,,14,36,,,15,30,1,,15,32,,
19647330122333,19,64733,0122333,2020-21,26,3,16,2,23,12,10,1,25,5,16,,25,5,11,3,26,4,16,1,23,7,16,1,29,3,8,8,27,6,11,5,25,7,15,,22,14,11,,28,4,15,1,28,3,17,2
30736500133389,30,73650,0133389,2020-21,28,1,6,2,28,,9,,31,,5,3,31,,6,2,27,1,6,2,22,5,6,1,30,,6,2,30,,6,2,14,8,,,10,13,,,14,8,,,14,8,,
33103300128777,33,10330,0128777,2020-21,23,3,2,,23,1,2,,,,,,24,1,2,,23,2,1,1,19,2,1,,,,,,23,1,1,,22,2,,,21,1,,,,,,,16,2,,
34673303431533,34,67330,3431533,2020-21,27,25,20,37,26,24,22,24,29,10,3,32,28,18,18,38,27,23,35,27,26,21,22,27,31,6,3,32,29,13,17,41,31,15,16,46,28,18,15,35,33,4,5,30,31,10,12,48
01612006001234,01,61200,6001234,2020-21,17,15,6,,27,3,8,1,25,4,9,,21,8,6,,23,5,12,,24,7,8,1,25,4,11,,26,2,12,,21,7,10,,23,8,7,,25,3,11,,25,4,10,
37683383730884,37,68338,3730884,2020-21,29,8,37,31,31,5,29,36,31,3,23,32,31,7,11,44,29,9,29,36,31,7,19,41,32,5,14,37,29,10,17,32,25,10,30,4,26,8,30,3,28,3,25,6,29,7,21,6
