DistrictCode,SchoolCode,SARCYear,CSNAPC,ENAPC,FPANAPC,FLNAPC,MNAPC,SNAPC,SSNAPC,ALLNAPC,PSIAPC
4369393,6046668,2020-21,0,0,0,0,0,0,0,0,
1964733,0100800,2020-21,2,2,2,0,1,1,4,12,19.1
1964485,6089148,2020-21,0,0,0,0,0,0,0,0,
1964451,6057624,2020-21,0,0,0,0,0,0,0,0,
3768353,6040331,2020-21,0,0,0,0,0,0,0,0,
3366977,6120109,2020-21,0,0,0,0,0,0,0,0,
2766035,6111645,2020-21,0,0,0,0,0,0,0,0,
3066431,6058812,2020-21,0,0,0,0,0,0,0,0,
4570037,6050389,2020-21,0,0,0,0,0,0,0,0,
1563321,0129171,2020-21,0,0,0,0,0,0,0,0,
3166910,0102798,2020-21,0,0,0,0,0,0,0,0,
0161259,0112763,2020-21,0,0,0,0,0,0,0,0,
1964881,0113472,2020-21,0,0,0,0,0,0,0,0,
1964733,6019772,2020-21,0,0,0,0,0,0,0,0,
0161242,0110460,2020-21,0,0,0,0,0,0,0,0,.0
1964733,0134148,2020-21,0,0,0,0,0,0,0,0,
3567561,6035141,2020-21,0,0,0,0,0,0,0,0,
3675051,0137794,2020-21,1,3,0,0,1,2,3,10,1.8
5672553,6055404,2020-21,0,0,0,0,0,0,0,0,
4310439,4330254,2020-21,0,0,0,0,0,0,0,0,.0
3667587,0109470,2020-21,0,0,0,0,0,0,0,0,
1964212,6071351,2020-21,0,0,0,0,0,0,0,0,
1964733,0114199,2020-21,0,0,0,0,0,0,0,0,
1965094,0112706,2020-21,0,4,1,1,2,3,4,15,4.6
3768338,0107078,2020-21,0,0,0,0,0,0,0,0,.0
3667850,6036693,2020-21,0,0,0,0,0,0,0,0,
3768338,6039499,2020-21,0,0,0,0,0,0,0,0,
3066522,6028641,2020-21,0,0,0,0,0,0,0,0,
1964816,6020739,2020-21,0,0,0,0,0,0,0,0,
4369484,4334850,2020-21,0,0,0,0,0,0,0,0,.0
1964568,6099022,2020-21,0,0,0,0,0,0,0,0,.0
3968569,6095210,2020-21,0,0,0,0,0,0,0,0,
1964907,6058515,2020-21,0,0,0,0,0,0,0,0,
2365607,6025175,2020-21,0,0,0,0,0,0,0,0,
1964733,0106849,2020-21,0,2,0,2,1,0,3,8,19.6
3066670,3035821,2020-21,0,4,1,5,2,2,9,23,23.4
1563826,1530245,2020-21,0,0,0,0,0,0,0,0,.0
5071100,6112627,2020-21,0,0,0,0,0,0,0,0,
5071266,0133660,2020-21,0,0,0,0,0,0,0,0,
3768304,0131250,2020-21,0,2,0,0,0,0,1,3,13.4
1975341,6021992,2020-21,0,0,0,0,0,0,0,0,
5772678,6056246,2020-21,0,0,0,0,0,0,0,0,
4870573,0133553,2020-21,0,0,0,0,0,0,0,0,
3476505,0101832,2020-21,0,0,1,0,2,0,1,4,9.8
4870573,6051320,2020-21,0,0,0,0,0,0,0,0,
4870540,6051163,2020-21,0,0,0,0,0,0,0,0,
1563792,6010102,2020-21,0,0,0,0,0,0,0,0,
4810488,0139030,2020-21,0,0,0,0,0,0,0,0,.0
5071217,6052948,2020-21,0,0,0,0,0,0,0,0,
4670177,4634259,2020-21,0,2,2,0,0,0,6,10,50.9
3975499,3930393,2020-21,0,0,0,0,0,0,0,0,.0
3375176,0113100,2020-21,0,0,0,0,0,0,0,0,
1964907,6112437,2020-21,0,0,0,0,0,0,0,0,
4276786,6045835,2020-21,0,0,0,0,0,0,0,0,
1964733,6016752,2020-21,0,0,0,0,0,0,0,0,
3066530,6116065,2020-21,0,0,0,0,0,0,0,0,
0761630,0731125,2020-21,5,6,6,4,10,17,16,64,54.6
1363081,1330141,2020-21,0,0,0,0,0,0,0,0,.0
0761796,6004907,2020-21,0,0,0,0,0,0,0,0,
3667678,6035588,2020-21,0,0,0,0,0,0,0,0,
3675077,6107346,2020-21,0,0,0,0,0,0,0,0,
1964642,6014609,2020-21,0,0,0,0,0,0,0,0,
4369401,0000000,2020-21,0,0,0,0,0,0,0,0,.0
3467439,3430865,2020-21,0,7,2,4,6,7,7,33,59.1
0761648,0730465,2020-21,2,10,0,2,4,2,22,42,20.6
0761655,0000000,2020-21,0,0,0,0,0,0,0,0,
1964733,1936350,2020-21,5,14,1,4,11,14,25,76,39.9
3367215,6032726,2020-21,0,0,0,0,0,0,0,0,
5672546,0120634,2020-21,0,0,0,0,0,0,0,0,.0
1964733,6015861,2020-21,0,0,0,0,0,0,0,0,
1975713,6011126,2020-21,0,0,0,0,0,0,0,0,
1964766,6020218,2020-21,0,0,0,0,0,0,0,0,
1964329,6011811,2020-21,0,0,0,0,0,0,0,0,
1964394,6012173,2020-21,0,0,0,0,0,0,0,0,
1964832,0100636,2020-21,0,0,0,0,0,0,0,0,
0161242,6115505,2020-21,0,0,0,0,0,0,0,0,
1062414,6007165,2020-21,0,0,0,0,0,0,0,0,
3467439,6034243,2020-21,0,0,0,0,0,0,0,0,
4369484,6047310,2020-21,0,0,0,0,0,0,0,0,
3066597,3032000,2020-21,0,1,0,1,3,2,4,13,16.2
1764030,0114215,2020-21,0,0,0,0,0,0,0,0,.0
4269229,0100651,2020-21,0,0,0,0,0,0,0,0,
1964733,0140046,2020-21,0,3,0,1,2,1,1,8,29.6
5572371,6054910,2020-21,0,0,0,0,0,0,0,0,
4075457,6043137,2020-21,0,0,0,0,0,0,0,0,
3773569,6108211,2020-21,0,0,0,0,0,0,0,0,
3768338,6040208,2020-21,0,0,0,0,0,0,0,0,
4970599,6051577,2020-21,0,0,0,0,0,0,0,0,
1964816,6020713,2020-21,0,0,0,0,0,0,0,0,
3367058,0114504,2020-21,0,0,0,0,0,0,0,0,.0
1563479,6104004,2020-21,0,0,0,0,0,0,0,0,
1062166,6101109,2020-21,0,0,0,0,0,0,0,0,
1964733,0124503,2020-21,0,3,0,1,2,2,3,11,24.3
1975713,1995430,2020-21,0,0,0,0,0,0,0,0,.0
0161234,6001481,2020-21,0,0,0,0,0,0,0,0,
1964733,1996651,2020-21,0,0,0,0,0,0,0,0,
3768338,6069116,2020-21,0,0,0,0,0,0,0,0,
0461424,0430215,2020-21,0,0,0,0,0,0,0,0,.0
4810488,6089668,2020-21,0,0,0,0,0,0,0,0,.0
4970912,6052195,2020-21,0,0,0,0,0,0,0,0,
4369427,0125617,2020-21,0,0,0,0,2,6,2,11,35.8
1964733,6017008,2020-21,0,0,0,0,0,0,0,0,
5471829,6053862,2020-21,0,0,0,0,0,0,0,0,
3776471,0138776,2020-21,0,0,0,0,0,0,0,0,
1975309,0132654,2020-21,0,2,0,1,0,2,4,9,2.7
1964733,0124016,2020-21,0,0,0,0,0,0,0,0,
4475432,6049936,2020-21,0,0,0,0,0,0,0,0,
5772694,0116996,2020-21,0,0,0,0,0,0,0,0,
5673759,6055842,2020-21,0,0,0,0,0,0,0,0,
1964733,1939305,2020-21,1,3,0,2,1,2,2,11,18.8
3968593,0105973,2020-21,0,0,0,0,0,0,0,0,
3768221,6038764,2020-21,0,0,0,0,0,0,0,0,
3667686,6111108,2020-21,0,0,0,0,0,0,0,0,
3066423,6027270,2020-21,0,0,0,0,0,0,0,0,
4269146,6045306,2020-21,0,0,0,0,0,0,0,0,
1964329,6011860,2020-21,0,0,0,0,0,0,0,0,
3467447,6034797,2020-21,0,0,0,0,0,0,0,0,
3010306,0133959,2020-21,0,0,0,0,0,0,0,0,.0
1964303,6011605,2020-21,0,0,0,0,0,0,0,0,
1663875,6010284,2020-21,0,0,0,0,0,0,0,0,
5672553,6120620,2020-21,0,0,0,0,0,0,0,0,
1964733,0134023,2020-21,0,0,0,0,0,0,0,0,
4169005,6044580,2020-21,0,0,0,0,0,0,0,0,
0161259,0134015,2020-21,0,0,0,0,0,0,0,0,.0
3567470,6071088,2020-21,0,0,0,0,0,0,0,0,
1162653,6007546,2020-21,0,0,0,0,0,0,0,0,
3367090,6111280,2020-21,0,0,0,0,0,0,0,0,
1964733,0111575,2020-21,0,5,0,3,1,0,3,12,29.2
3768098,0102590,2020-21,0,0,0,0,0,0,0,0,
4369484,6106991,2020-21,0,0,0,0,0,0,0,0,
3675051,0136432,2020-21,0,4,0,0,0,0,4,8,.2
1563362,0119099,2020-21,0,0,0,0,0,0,0,0,
3667850,6036677,2020-21,0,0,0,0,0,0,0,0,
2473619,6025720,2020-21,0,0,0,0,0,0,0,0,
1964725,1934470,2020-21,0,8,2,3,3,0,8,26,22.9
0175093,0132704,2020-21,0,7,2,4,17,7,20,61,30.1
3667959,0101410,2020-21,0,0,0,0,0,0,0,0,.0
2065193,6023881,2020-21,0,0,0,0,0,0,0,0,
2465813,6025779,2020-21,0,0,0,0,0,0,0,0,
5475523,6054258,2020-21,0,0,0,0,0,0,0,0,
3868478,6097919,2020-21,0,0,0,0,0,0,0,0,
1910199,0121905,2020-21,0,0,0,0,0,0,0,0,.0
1964733,6019301,2020-21,0,0,0,0,0,0,0,0,
1965037,6022800,2020-21,0,0,0,0,0,0,0,0,
4970862,4930103,2020-21,0,0,0,0,0,0,0,0,.0
1964881,6021570,2020-21,0,0,0,0,0,0,0,0,
3367215,0119180,2020-21,0,0,0,0,0,0,0,0,
4169070,0000000,2020-21,0,0,0,0,0,0,0,0,.0
2465789,0107672,2020-21,0,0,0,0,0,0,0,0,.0
0761812,6005185,2020-21,0,0,0,0,0,0,0,0,
1062240,6108328,2020-21,0,0,0,0,0,0,0,0,
4569948,6117857,2020-21,0,0,0,0,0,0,0,0,
2465862,0114074,2020-21,0,0,0,0,0,0,0,0,
2465763,6025589,2020-21,0,0,0,0,0,0,0,0,
3768296,0116764,2020-21,0,0,0,0,0,0,0,0,
4369369,0135749,2020-21,0,0,0,0,0,0,0,0,
4369674,6048995,2020-21,0,0,0,0,0,0,0,0,
3868478,0132241,2020-21,0,0,0,0,0,0,0,0,
5075739,6115208,2020-21,0,0,0,0,0,0,0,0,
1964436,6012439,2020-21,0,0,0,0,0,0,0,0,
4369674,4330122,2020-21,0,7,0,3,6,7,11,38,28.0
3868478,6089569,2020-21,0,0,0,0,0,0,0,0,
1975291,1995810,2020-21,4,7,3,5,5,12,16,52,44.2
1073809,6006019,2020-21,0,0,0,0,0,0,0,0,
1964733,1930551,2020-21,0,0,0,0,0,0,0,0,.0
1663883,6010326,2020-21,0,0,0,0,0,0,0,0,
4276786,6045892,2020-21,0,0,0,0,0,0,0,0,
3667819,0000000,2020-21,0,0,0,0,0,0,0,0,
1964733,0115048,2020-21,0,0,0,0,0,0,0,0,
1563339,6009229,2020-21,0,0,0,0,0,0,0,0,
3667843,6036487,2020-21,0,0,0,0,0,0,0,0,
1965102,6023584,2020-21,0,0,0,0,0,0,0,0,
5071167,6052716,2020-21,0,0,0,0,0,0,0,0,
5171464,6053367,2020-21,0,0,0,0,0,0,0,0,
3768023,6037857,2020-21,0,0,0,0,0,0,0,0,
4269120,6045272,2020-21,0,0,0,0,0,0,0,0,
3367033,6114151,2020-21,0,0,0,0,0,0,0,0,
1964733,0128371,2020-21,0,0,0,0,0,0,0,0,
5472090,6054324,2020-21,0,0,0,0,0,0,0,0,
3310330,0137851,2020-21,0,0,0,0,0,0,0,0,
2165466,2133254,2020-21,0,0,0,0,0,0,0,0,.0
5075549,0116848,2020-21,0,0,0,0,0,0,0,0,.0
3667959,3633351,2020-21,0,0,0,0,0,0,0,0,.0
0461424,6002976,2020-21,0,0,0,0,0,0,0,0,
1964998,6022685,2020-21,0,0,0,0,0,0,0,0,
3868478,6041230,2020-21,0,0,0,0,0,0,0,0,
4870540,6109136,2020-21,0,0,0,0,0,0,0,0,
1964337,6011878,2020-21,0,0,0,0,0,0,0,0,
5476836,6110290,2020-21,0,0,0,0,0,0,0,0,
4369484,4332839,2020-21,0,4,2,4,2,1,4,17,17.2
2265532,6025001,2020-21,0,0,0,0,0,0,0,0,
1276802,6008130,2020-21,0,0,0,0,0,0,0,0,
3968676,6118871,2020-21,0,0,0,0,0,0,0,0,
3968627,0133116,2020-21,0,0,0,0,0,0,0,0,.0
2410249,0106518,2020-21,0,0,0,0,0,0,0,0,.0
1964709,6014971,2020-21,0,0,0,0,0,0,0,0,
3768338,6059679,2020-21,0,0,0,0,0,0,0,0,
2573593,6025894,2020-21,0,0,0,0,0,0,0,0,
1964733,6017198,2020-21,0,0,0,0,0,0,0,0,
1062166,1032911,2020-21,0,4,0,3,4,4,16,31,24.4
0161259,6001648,2020-21,0,0,0,0,0,0,0,0,
3567470,6114557,2020-21,0,0,0,0,0,0,0,0,
1062117,6100408,2020-21,0,0,0,0,0,0,0,0,
1910199,0128025,2020-21,0,0,0,0,0,0,0,0,
1964261,6011183,2020-21,0,0,0,0,0,0,0,0,
3066696,6030456,2020-21,0,0,0,0,0,0,0,0,
1964667,6014724,2020-21,0,0,0,0,0,0,0,0,
3066498,6027916,2020-21,0,0,0,0,0,0,0,0,
4168916,6043780,2020-21,0,0,0,0,0,0,0,0,
1964881,0113894,2020-21,0,0,0,0,0,0,0,0,
1764022,6084990,2020-21,0,0,0,0,0,0,0,0,
4269229,4233029,2020-21,0,0,0,0,0,0,0,0,.0
1964733,0132027,2020-21,0,2,0,1,1,2,4,10,27.0
4276786,4232690,2020-21,0,0,0,0,0,0,0,0,.0
3768379,6085146,2020-21,0,0,0,0,0,0,0,0,
3667868,3630241,2020-21,0,0,0,0,0,0,0,0,.0
3367207,3330727,2020-21,1,4,0,5,7,6,19,42,22.2
3667710,6035836,2020-21,0,0,0,0,0,0,0,0,
5772702,0138974,2020-21,0,0,0,0,0,0,0,0,
0961903,6005573,2020-21,0,0,0,0,0,0,0,0,
3066522,3036555,2020-21,4,7,1,4,5,7,14,42,32.2
3768452,6107585,2020-21,0,0,0,0,0,0,0,0,
1964907,1937028,2020-21,0,3,1,3,3,3,6,19,18.1
1964733,0117648,2020-21,0,0,0,0,0,0,0,0,
3768338,0000000,2020-21,0,0,0,0,0,0,0,0,
2465631,6113161,2020-21,0,0,0,0,0,0,0,0,
0161259,6118608,2020-21,0,0,0,0,0,0,0,0,
4369369,6046270,2020-21,0,0,0,0,0,0,0,0,
3768056,0110114,2020-21,0,0,0,0,0,0,0,0,
3467355,3433471,2020-21,0,2,3,2,1,0,3,11,20.2
3375176,6107189,2020-21,0,0,0,0,0,0,0,0,
1075275,6112544,2020-21,0,0,0,0,0,0,0,0,.0
2910298,0130823,2020-21,0,0,0,0,0,0,0,0,.0
3367157,3331014,2020-21,0,0,0,0,0,0,0,0,.0
1964725,6015200,2020-21,0,0,0,0,0,0,0,0,
2765987,6026025,2020-21,0,0,0,0,0,0,0,0,
3968486,0140392,2020-21,0,0,0,0,0,0,0,0,
