C,D,S,SARCYear,ETES,ENTS,EPTS,EPNTS,EMES,ETEM,ENTM,EPTM,EPNTEM,EMMEM,ETEF,ENTF,EPTF,EPNTEF,EMMEF,ETEAI,ENTAI,EPTAI,EPNTAI,EMEAI,ETEAS,ENTAS,EPTAS,EPNTAS,EMEAS,ETEPI,ENTPI,EPTPI,EPNTPI,EMEPI,ETEFI,ENTFI,EPTFI,EPNTFI,EMEFI,ETEHI,ENTHI,EPTHI,EPNTHI,EMEHI,ETEAA,ENTAA,EPTAA,EPNTAA,EMEAA,ETEWH,ENTWH,EPTWH,EPNTWH,EMEWH,ETEMR,ENTMR,EPTMR,EPNTMR,EMEMR,ETELEP,ENTLEP,EPTLEP,EPNTLEP,EMELEP,ETEFY,ENTFY,EPTFY,EPNTFY,EMEFY,ETEH,ENTH,EPTH,EPNTH,EMEH,ETEMIL,ENTMIL,EPTMIL,EPNTMIL,EMEMIL,ETESD,ENTSD,EPTSD,EPNTSD,EMESD,ETEMIG,ENTMIG,EPTMIG,EPNTMIG,EMEMIG,ETEDI,ENTDI,EPTDI,EPNTDI,EMEDI
47,70425,0131102,2020-2021,290,268,92.41,7.59,59.33,142,130,91.55,8.45,50.77,148,138,93.24,6.76,67.39,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,30,88.24,11.76,56.67,--,--,--,--,--,231,215,93.07,6.93,60.47,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,12,12,100.00,0.00,83.33,0,0,0,0,0,108,96,88.89,11.11,52.08,0,0,0,0,0,25,23,92.00,8.00,13.04
18,64089,1831601,2020-2021,37,36,97.30,2.70,19.44,18,18,100.00,0.00,11.11,19,18,94.74,5.26,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,25,24,96.00,4.00,20.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,21,20,95.24,4.76,15.00,--,--,--,--,--,--,--,--,--,--
19,64667,6014674,2020-2021,427,NT,NT,NT,NT,218,NT,NT,NT,NT,209,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,231,NT,NT,NT,NT,123,NT,NT,NT,NT,38,NT,NT,NT,NT,22,NT,NT,NT,NT,62,NT,NT,NT,NT,22,NT,NT,NT,NT,36,NT,NT,NT,NT,17,NT,NT,NT,NT,404,NT,NT,NT,NT,0,0,0,0,0,99,NT,NT,NT,NT
57,72678,6066245,2020-2021,323,NT,NT,NT,NT,165,NT,NT,NT,NT,158,NT,NT,NT,NT,--,NT,NT,NT,NT,24,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,61,NT,NT,NT,NT,14,NT,NT,NT,NT,188,NT,NT,NT,NT,28,NT,NT,NT,NT,13,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,53,NT,NT,NT,NT,--,NT,NT,NT,NT,47,NT,NT,NT,NT
31,66886,6111694,2020-2021,73,NT,NT,NT,NT,41,NT,NT,NT,NT,32,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,66,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,19,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
17,64014,1730043,2020-2021,14,7,50.00,50.00,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--
56,72520,6055222,2020-2021,66,62,93.94,6.06,35.48,32,32,100.00,0.00,25.00,34,30,88.24,11.76,46.67,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,92.00,8.00,17.39,0,0,0,0,0,39,38,97.44,2.56,44.74,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,92.86,7.14,19.23,0,0,0,0,0,--,--,--,--,--
30,66670,0135897,2020-2021,249,15,6.02,93.98,46.67,126,5,3.97,96.03,--,123,10,8.13,91.87,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,240,15,6.25,93.75,46.67,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,74,4,5.41,94.59,--,--,--,--,--,--,64,0,0.00,100.00,--,0,0,0,0,0,213,13,6.10,93.90,46.15,0,0,0,0,0,24,4,16.67,83.33,--
19,64733,0126557,2020-2021,97,79,81.44,18.56,36.36,32,23,71.88,28.12,26.09,65,56,86.15,13.85,40.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,96,78,81.25,18.75,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,89,73,82.02,17.98,37.50,0,0,0,0,0,12,6,50.00,50.00,--
01,61200,0135376,2020-2021,140,126,90.00,10.00,69.84,75,68,90.67,9.33,72.06,65,58,89.23,10.77,67.24,0,0,0,0,0,27,26,96.30,3.70,88.46,--,--,--,--,--,--,--,--,--,--,33,27,81.82,18.18,62.96,--,--,--,--,--,65,59,90.77,9.23,67.80,11,10,90.91,9.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,20,86.96,13.04,40.00,0,0,0,0,0,19,11,57.89,42.11,63.64
