C,D,S,SARCYear,STES,SNTS,SPTS,SPNTS,SMES,STEM,SNTM,SPTM,SPNTEM,SMMEM,STEF,SNTF,SPTF,SPNTEF,SMMEF,STEAI,SNTAI,SPTAI,SPNTAI,SMEAI,STEAS,SNTAS,SPTAS,SPNTAS,SMEAS,STEPI,SNTPI,SPTPI,SPNTPI,SMEPI,STEFI,SNTFI,SPTFI,SPNTFI,SMEFI,STEHI,SNTHI,SPTHI,SPNTHI,SMEHI,STEAA,SNTAA,SPTAA,SPNTAA,SMEAA,STEWH,SNTWH,SPTWH,SPNTWH,SMEWH,STEMR,SNTMR,SPTMR,SPNTMR,SMEMR,STELEP,SNTLEP,SPTLEP,SPNTLEP,SMELEP,STEFY,SNTFY,SPTFY,SPNTFY,SMEFY,STEH,SNTH,SPTH,SPNTH,SMEH,STEMIL,SNTMIL,SPTMIL,SPNTMIL,SMEMIL,STESD,SNTSD,SPTSD,SPNTSD,SMESD,STEMIG,SNTMIG,SPTMIG,SPNTMIG,SMEMIG,STEDI,SNTDI,SPTDI,SPNTDI,SMEDI
19,73437,6057558,2020-2021,152,NT,NT,NT,NT,80,NT,NT,NT,NT,72,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,NT,NT,NT,NT,16,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,47,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,135,NT,NT,NT,NT,0,0,0,0,0,31,NT,NT,NT,NT
19,64816,6105407,2020-2021,41,NT,NT,NT,NT,14,NT,NT,NT,NT,27,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,36,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,15,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,40,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
38,68478,6040943,2020-2021,100,NT,NT,NT,NT,49,NT,NT,NT,NT,51,NT,NT,NT,NT,0,0,0,0,0,52,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,39,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,47,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,44,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT
36,67595,6107510,2020-2021,80,NT,NT,NT,NT,44,NT,NT,NT,NT,36,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,38,NT,NT,NT,NT,--,NT,NT,NT,NT,23,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,24,NT,NT,NT,NT,0,0,0,0,0,14,NT,NT,NT,NT
19,64733,6017669,2020-2021,32,NT,NT,NT,NT,17,NT,NT,NT,NT,15,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,27,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,11,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,30,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT
19,64212,6010938,2020-2021,65,NT,NT,NT,NT,35,NT,NT,NT,NT,30,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,33,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,NT,NT,NT,NT,--,NT,NT,NT,NT,14,NT,NT,NT,NT
17,64014,1734359,2020-2021,130,96,73.85,26.15,20.83,52,33,63.46,36.54,33.33,78,63,80.77,19.23,14.29,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,39,78.00,22.00,15.38,--,--,--,--,--,74,54,72.97,27.03,25.93,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,0,0,0,0,65,43,66.15,33.85,11.63,--,--,--,--,--,16,10,62.50,37.50,--
01,61242,6001606,2020-2021,77,NT,NT,NT,NT,38,NT,NT,NT,NT,39,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,55,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,27,NT,NT,NT,NT,0,0,0,0,0,--,NT,NT,NT,NT,--,NT,NT,NT,NT,52,NT,NT,NT,NT,--,NT,NT,NT,NT,13,NT,NT,NT,NT
09,61853,0930081,2020-2021,588,424,72.11,27.89,55.19,309,241,77.99,22.01,52.70,279,183,65.59,34.41,58.47,0,0,0,0,0,66,55,83.33,16.67,67.27,--,--,--,--,--,14,11,78.57,21.43,81.82,75,49,65.33,34.67,40.82,--,--,--,--,--,388,274,70.62,29.38,53.28,36,29,80.56,19.44,68.97,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,45,27,60.00,40.00,44.44,0,0,0,0,0,45,31,68.89,31.11,16.13
36,73957,0110718,2020-2021,114,NT,NT,NT,NT,60,NT,NT,NT,NT,54,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,0,0,0,0,0,--,NT,NT,NT,NT,76,NT,NT,NT,NT,23,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,18,NT,NT,NT,NT,--,NT,NT,NT,NT,--,NT,NT,NT,NT,0,0,0,0,0,96,NT,NT,NT,NT,0,0,0,0,0,32,NT,NT,NT,NT
