,School,CDSCode,NCESCode,Magnet,Zip,Latitude,Longitude
1,FAME Public Charter,01100170109835,069105110546,N,94560-5359,37.521436,-121.99391
2,Envision Academy for Arts & Technology,01100170112607,069105110947,N,94612-3355,37.804520,-122.26815
3,Aspire California College Preparatory Academy,01100170118489,069105112283,N,94703-1414,37.868991,-122.27844
9,Alameda County Juvenile Hall/Court,01100170130401,069105109264,N,94578-1005,37.712878,-122.11173
10,Alameda County Community,01100170130419,069105106830,N,94544-1136,37.658212,-122.09713
11,Alameda County Opportunity,01100170130427,069105109265,No Data,94544-1136,37.658212,-122.09713
12,Alternatives in Action,01100170130625,069105108674,N,94621-4107,37.764464,-122.19540
16,Connecting Waters Charter - East Bay,01100170136101,069105114091,N,94587-2195,37.603623,-122.02530
17,Opportunity Academy,01100170136226,069105114090,N,94544-1136,37.658510,-122.09834
44,California School for the Blind,01316090131755,060000210346,Y,94536-4365,37.562576,-121.96563
46,California School for the Deaf-Fremont,01316170131763,060000310347,N,94538-2308,37.558956,-121.96551
50,Alameda Science and Technology Institute,01611190106401,060177010547,Y,94501-2109,37.780753,-122.27930
52,Nea Community Learning Center,01611190119222,060177012399,N,94501-1851,37.779051,-122.28703
57,Alameda High,01611190130229,060177000041,N,94501-4406,37.764958,-122.24593
59,Alameda Community Learning Center,01611190130609,060177008673,N,94501-1851,37.779051,-122.28703
61,Encinal Junior/Senior High,01611190132142,060177000045,N,94501-3246,37.772765,-122.28900
62,Encinal High,01611190132878,060177000045,N,94501-3278,37.773616,-122.29027
63,Island High (Continuation),01611190134304,060177000048,N,94501-2109,37.782304,-122.27935
87,MacGregor High (Continuation),01611270130294,060186007638,N,94706-1422,37.896420,-122.29211
89,Albany High,01611270130450,060186000059,N,94706-1422,37.896661,-122.29257
108,REALM Charter High,01611430122697,060474012715,N,94710-2026,37.867479,-122.29492
111,Berkeley High,01611430131177,060474000432,N,94704-1463,37.868913,-122.27120
113,Berkeley Technology Academy,01611430134924,060474011300,N,94704-2165,37.859740,-122.27171
114,REALM Charter,01611430138552,060474014246,N,94710-2026,37.867407,-122.29489
145,Redwood Alternative High,01611500102194,060780011357,No Data,94546,37.712800,-122.09305
148,Roy A. Johnson High,01611500130047,060780000750,N,94546-0146,37.713501,-122.09222
151,Castro Valley High,01611500132225,060780000742,N,94546-3400,37.705184,-122.07847
152,Castro Valley Virtual Academy,01611500133876,060780014010,N,94546-2020,37.713501,-122.09222
153,Redwood Continuation High,01611500135533,060780000744,N,94546-0146,37.712800,-122.09305
